id,year,month,day,1st,2nd,3rd,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
614,1992,4,12,4564,5050,5320,2396,2415,2937,3877,4031,5535,7712,8059,8123,8619,947,956,1433,2815,3242,3303,5598,6386,8159,8456
615,1992,4,18,571,2630,958,525,1164,2170,3989,5509,6144,7898,8083,8960,9493,1145,3273,3301,3397,5302,5530,5837,7151,8650,9851
616,1992,4,19,2224,2199,2289,653,1811,2952,4282,4704,4937,6344,7252,8811,9633,1946,2092,2575,2902,4403,4547,5210,8549,9335,9657
617,1992,4,25,3042,7842,2738,1191,1729,2935,6256,7860,8637,8651,9162,9436,9769,41,521,1562,2114,3312,3322,5487,7253,7744,9692
618,1992,4,26,6447,6768,5297,1413,1693,2837,2990,3108,3467,4644,4903,7878,9410,2175,2816,3651,5025,5055,5398,5434,6301,6487,8609
619,1992,5,2,6185,6489,5444,1445,1518,2215,2217,3598,4397,4865,6459,7133,9309,284,1488,2081,4885,4961,5185,6875,7053,8370,9853
620,1992,5,3,4911,5498,8410,1071,1434,1900,2472,3036,4920,5164,5889,8988,9052,1074,3004,4446,5495,5578,6335,6740,6996,7815,8945
621,1992,5,9,5955,577,2020,3146,4568,4927,6032,8174,8260,8855,8864,9380,9744,42,256,2085,3329,4611,5363,5760,7406,8715,9454
622,1992,5,10,91,3954,1911,1137,2101,2168,2444,3169,6064,6880,7227,8430,8485,309,985,1473,3915,3981,4907,4995,5386,7708,8890
623,1992,5,16,4109,2057,499,277,1781,2744,3500,3995,5362,6592,8285,8669,9221,263,1488,1600,2118,2645,3575,3643,5499,5671,6505
624,1992,5,17,3975,4453,8050,47,1160,1604,3930,4171,4729,5020,6813,7934,8710,195,785,1830,3262,3824,5260,6185,7100,7617,8597
625,1992,5,23,6563,3219,1479,1172,1236,1382,1986,3399,4478,4763,7751,8842,9426,856,2923,5877,7536,7761,7785,8281,8527,9103,9605
626,1992,5,24,3436,8729,1970,1378,4458,4988,5085,7406,8289,8722,9204,9286,9295,172,273,2414,2527,2567,2693,4441,5352,8167,9413
627,1992,5,30,9669,8910,2065,144,537,806,1524,2099,3755,4792,5833,8704,9489,843,2674,2890,3757,4266,4553,5467,5587,6946,8090
628,1992,5,31,8280,5161,3267,499,1689,1710,1890,2667,4585,4601,5286,7369,7586,92,2310,2434,3876,6300,7281,8142,8367,8987,9434
629,1992,6,6,3752,2321,8176,476,2999,3310,3817,4225,4356,4650,4712,6327,9799,629,923,1544,3006,3328,3723,4535,5809,6318,8362
630,1992,6,7,9490,4135,2231,2128,3003,3474,3683,4043,5397,6122,6592,9133,9310,319,361,2679,2883,3254,4712,5341,5753,8557,9626
631,1992,6,13,1558,4902,5525,838,2688,4408,4422,4563,5123,5610,8736,8929,9658,756,815,1185,1553,1939,5561,6028,7933,8157,9190
632,1992,6,14,3469,5464,3676,1213,1954,2403,3462,3919,4352,4918,7732,8583,8663,101,301,805,1910,4936,5200,6893,6912,8108,9279
633,1992,6,20,880,2896,1218,1037,3779,4622,4767,5209,5917,6186,6188,7295,9504,618,686,1159,2207,3137,5062,8013,8120,8553,9266
634,1992,6,21,6228,1932,537,124,2011,2487,2664,2944,2990,3240,7341,7803,7979,70,439,1399,3050,3074,4394,4456,5742,5875,6171
635,1992,6,27,4664,3965,428,1162,1478,2764,3305,4022,7098,8112,8948,9142,9839,912,1334,2548,3181,3403,3611,4817,5288,6703,7141
636,1992,6,28,8055,7671,8645,332,1543,3381,3607,4955,8518,8700,8731,8902,8953,723,1951,2559,2756,3439,4711,6980,7461,8581,9373
637,1992,7,4,9757,127,9847,403,3784,3891,4519,5816,6651,8248,8588,9524,9637,846,1820,3408,4238,4740,5351,5472,7447,7683,8155
638,1992,7,5,857,258,6751,615,2232,3878,4566,4574,4813,6056,7247,7946,9568,941,944,1125,1530,2531,3007,3596,5406,7756,9860
639,1992,7,11,4569,2801,7869,259,1890,3137,4123,4979,5057,5721,6167,6232,7698,1153,2284,2859,4250,6843,7050,8180,9511,9978,9994
640,1992,7,12,7369,4747,4452,172,2157,2197,3082,3278,3873,4526,6370,8154,8415,416,799,1566,5165,5943,6037,6480,6794,8665,9440
641,1992,7,18,6174,7058,7490,1281,4598,5138,5710,5710,5802,6976,7357,9817,9976,778,1056,2024,2731,2826,4016,4476,4642,5441,8092
642,1992,7,19,5990,4177,4694,1785,1882,2339,3647,4048,5246,6997,7479,8913,9525,204,1157,1903,3135,6769,7205,8388,9673,9773,9955
643,1992,7,25,1690,7173,4709,1402,1583,1630,2195,2744,4178,4914,5904,7337,7675,30,1300,1344,1871,2401,3981,4075,4989,7288,9606
644,1992,7,26,5188,42,5709,566,1179,1358,3225,4629,5905,7303,8507,9323,9893,256,1834,2185,4557,7422,7627,7903,9293,9687,9702
645,1992,8,1,4788,336,3435,646,1415,1849,3927,4571,4737,5550,6258,7074,8282,313,344,1344,1983,2847,2923,2957,6088,8365,8975
646,1992,8,2,704,5978,5260,4024,5503,5601,6625,6684,7138,7372,8694,8757,9913,771,1222,2477,2901,3727,3871,4193,5119,5356,9315
647,1992,8,8,3555,9228,2059,1486,3261,4521,4714,4893,6150,6382,6915,8396,8836,1962,2992,3031,3745,4434,5564,7094,7114,8946,9203
648,1992,8,9,8023,8956,5753,1999,3198,4713,7529,7599,7849,8520,8868,9231,9499,117,5348,5422,5944,6064,6526,7578,7740,8122,9578
649,1992,8,15,4554,1543,8080,582,1909,2040,3167,4367,4571,5128,5647,5796,5869,769,1512,1661,3730,6181,6724,8058,8385,8605,9798
650,1992,8,16,8453,6867,3269,1079,1896,2279,3933,5740,5878,6098,7309,8082,9379,48,840,1377,2436,5114,5500,5980,6360,6542,7797
651,1992,8,22,7571,5800,414,15,250,2564,2909,4686,5444,6727,7013,9109,9892,508,875,1092,2684,2997,3189,3949,5167,5611,9767
652,1992,8,23,7548,3591,2940,336,1655,1800,2047,3740,5131,5545,7257,7507,9355,2281,2295,2780,2832,3097,3535,3621,4881,6929,8061
653,1992,8,29,2629,107,1880,1180,2747,3027,3064,4007,4147,6574,7601,9800,9993,2985,4651,5184,5255,6126,7002,7858,9582,9686,9951
654,1992,8,30,9658,1439,7259,701,1907,2678,2837,3493,4775,6085,7803,7975,9172,280,702,3000,3975,5110,5529,6227,6873,6979,9275
655,1992,9,5,6406,7998,8633,436,1167,2046,3147,3990,5421,6521,7517,8491,9869,146,1605,2065,4915,5114,5908,9354,9457,9462,9733
656,1992,9,6,5121,5457,7154,630,1001,1966,4159,6432,6785,7469,7478,9132,9578,1055,3209,3340,5335,6056,6166,8962,9564,9683,9767
657,1992,9,12,1019,7420,9509,810,2232,3417,3521,3956,4287,4842,5469,7346,9938,2393,2945,3576,4066,5942,6057,6514,7285,7803,9295
658,1992,9,13,1510,4652,1898,1748,4017,5263,5504,5871,5982,6253,7517,9253,9994,192,344,2451,3175,3505,3905,3930,4413,8280,8782
659,1992,9,19,7626,1903,9813,2156,2386,5460,5475,6907,7194,8461,8621,9490,9547,591,1754,2861,5963,7022,7426,7564,8048,8499,9422
660,1992,9,20,7404,2101,1358,458,489,1199,1597,2432,3492,4121,4748,6399,6634,416,1408,2110,2153,3089,4964,6952,7896,8514,9164
661,1992,9,26,4570,5280,2085,323,470,802,3415,4143,6162,7548,8409,9308,9613,70,273,1306,3261,3882,4693,5365,6200,8074,9641
662,1992,9,27,2456,9895,7983,336,2468,4536,5116,5632,7281,7350,8301,9084,9329,817,1296,1809,2134,2591,2860,2940,5452,5478,6429
663,1992,10,3,8501,6455,7517,745,898,1156,3155,4145,5139,7290,7377,8561,8810,8,881,1438,3536,4133,4430,5098,5814,6798,8243
664,1992,10,4,5283,8681,5307,961,1617,2263,2881,2934,3865,5081,5913,6298,8757,1594,3725,4009,5495,6706,7093,7098,7307,8179,9807
665,1992,10,10,5971,224,4759,458,2525,3201,3664,3932,4239,5578,7575,7674,9667,862,2812,3164,4466,4858,5439,7048,7382,8955,9795
666,1992,10,11,9270,2597,3510,1226,3316,3813,3923,6334,6768,7230,7266,7434,7885,317,2523,2775,4938,5693,6617,8002,8092,8608,9540
667,1992,10,17,6199,9928,1787,20,189,946,1776,4584,5711,5957,6205,7095,8582,244,2222,2784,3056,3466,3740,4515,5932,6803,9508
668,1992,10,18,212,3183,5773,2288,2467,5099,6119,6432,6447,7606,7939,8048,8084,303,2777,3301,3622,7305,8362,8553,8616,9511,9810
669,1992,10,24,3209,5569,1498,431,2040,3035,3307,3649,3823,5223,5376,5909,7059,666,1053,3078,3886,5717,6104,6427,7071,7434,8069
670,1992,10,25,1126,2260,3858,53,1083,1512,2887,3322,3572,4358,5885,7387,8662,750,3372,3938,4806,5248,7936,8110,8214,8979,9514
671,1992,10,31,5132,7185,3765,341,1269,1896,2077,2662,2944,4019,4865,7555,8055,263,1722,1758,3316,4056,5138,5827,6276,6771,9324
672,1992,11,1,4016,3732,7751,2477,4691,5085,5214,7559,8281,8738,9287,9589,9728,138,559,1517,2670,4843,5454,7116,7512,7952,8207
673,1992,11,7,519,311,7148,591,1827,4212,5028,5447,5912,6153,7230,7456,8089,1277,2034,3237,3279,3793,3805,3806,4310,5854,6923
674,1992,11,8,8659,3457,8070,858,2385,3883,4850,5089,5136,6329,6635,7493,9598,689,2668,4655,4979,5372,5726,6387,6845,8733,9187
675,1992,11,14,5891,9068,2000,220,665,982,1747,3603,3730,4445,4749,5079,6100,636,1074,1078,3200,3297,5508,6394,7845,8196,8767
676,1992,11,15,7907,7926,3904,1676,1863,3424,3933,7026,7588,7606,8082,8221,8296,414,756,2340,2771,3785,4241,6361,7636,8423,9724
677,1992,11,21,5659,5187,5599,338,1103,2633,4170,4289,4553,5532,6710,8023,8790,302,1347,3651,4024,4039,4214,6460,8166,8497,8535
678,1992,11,22,9932,4519,8263,231,637,2214,3224,4380,4726,7977,8187,9772,9874,1628,2652,3038,3972,5182,5226,5279,5535,7609,9473
679,1992,11,28,2762,1286,7390,727,798,1337,1726,4791,5844,6761,7413,8131,8636,54,524,702,3339,3778,4674,4911,5153,6714,8609
680,1992,11,29,559,582,214,268,2120,3081,3532,6465,6718,7190,7682,8013,9638,405,884,1028,1362,3069,5145,6463,6546,6735,8613
681,1992,12,5,5759,3374,872,525,1789,6092,6140,6769,7047,7357,8863,9395,9606,1429,1492,3230,3502,3780,5712,6307,6796,7415,8403
682,1992,12,6,7660,4133,9607,373,2638,3759,4169,4679,5507,7543,7865,8336,9623,1651,3972,5612,6077,6364,8430,8737,9261,9357,9476
683,1992,12,12,9441,4549,8419,607,2364,3243,4284,4471,6412,6584,8381,8909,9851,1998,2942,3855,4052,4998,5663,6320,6420,6948,9201
684,1992,12,13,1607,803,79,1905,2433,4040,5349,7491,7882,7885,8168,8942,9719,454,2033,2044,2064,2582,2623,4558,8175,8316,9656
685,1992,12,19,939,9721,7251,1811,2006,2281,2728,3698,3931,4517,4894,4898,9835,206,414,508,2234,2444,4890,7028,7566,8148,9871
